Pclass,Sex,Embarked,Age,Survived
3,male,S,22,0
1,female,C,38,1
3,female,S,26,1
1,female,S,35,1
3,male,S,35,0
3,male,Q,23.74,0
1,male,S,54,0
3,male,S,2,0
3,female,S,27,1
2,female,C,14,1
3,female,S,4,1
1,female,S,58,1
3,male,S,20,0
3,male,S,39,0
3,female,S,14,0
2,female,S,55,1
3,male,Q,2,0
2,male,S,23.74,1
3,female,S,31,0
3,female,C,23.74,1
2,male,S,35,0
2,male,S,34,1
3,female,Q,15,1
1,male,S,28,1
3,female,S,8,0
3,female,S,38,1
3,male,C,23.74,0
1,male,S,19,0
3,female,Q,23.74,1
3,male,S,23.74,0
1,male,C,40,0
1,female,C,23.74,1
3,female,Q,23.74,1
2,male,S,66,0
1,male,C,28,0
1,male,S,42,0
3,male,C,23.74,1
3,male,S,21,0
3,female,S,18,0
3,female,C,14,1
3,female,S,40,0
2,female,S,27,0
3,male,C,23.74,0
2,female,C,3,1
3,female,Q,19,1
3,male,S,23.74,0
3,male,Q,23.74,0
3,female,Q,23.74,1
3,male,C,23.74,0
3,female,S,18,0
3,male,S,7,0
3,male,S,21,0
1,female,C,49,1
2,female,S,29,1
1,male,C,65,0
1,male,S,23.74,1
2,female,S,21,1
3,male,C,28.5,0
2,female,S,5,1
3,male,S,11,0
3,male,C,22,0
1,male,S,45,0
3,male,S,4,0
1,male,C,23.74,0
3,male,C,23.74,1
2,female,S,29,1
3,male,S,19,0
3,female,S,17,1
3,male,S,26,0
2,male,S,32,0
3,female,S,16,0
2,male,S,21,0
3,male,C,26,0
3,male,S,32,1
3,male,S,25,0
3,male,S,23.74,0
3,male,S,23.74,0
2,male,S,0.83,1
3,female,S,30,1
3,male,S,22,0
3,male,S,29,1
3,female,Q,23.74,1
1,male,S,28,0
2,female,S,17,1
3,female,S,33,1
3,male,S,16,0
3,male,S,23.74,0
1,female,S,23,1
3,male,S,24,0
3,male,S,29,0
3,male,S,20,0
1,male,S,46,0
3,male,S,26,0
3,male,S,59,0
3,male,S,23.74,0
1,male,C,71,0
1,male,C,23,1
2,female,S,34,1
2,male,S,34,0
3,female,S,28,0
3,male,S,23.74,0
1,male,S,21,0
3,male,S,33,0
3,male,S,37,0
3,male,S,28,0
3,female,S,21,1
3,male,S,23.74,1
3,male,S,38,0
3,female,Q,23.74,1
1,male,S,47,0
3,female,C,14.5,0
3,male,S,22,0
3,female,S,20,0
3,female,C,17,0
3,male,S,21,0
3,male,Q,70.5,0
2,male,S,29,0
1,male,C,24,0
